timestamp,attentionct_unfiltered,au01ct_linear_causal,au02ct_nonlinear_causal,au04ct_nonlinear_causal,au09ct_linear_causal,au10ct_linear_causal,au15ct_linear_causal,au17ct_nonlinear_causal,au18ct_linear_causal,au24ct_linear_causal,au25ct_nonlinear_causal,au28ct_linear_causal,eye_closurect_nonlinear_causal,smilect_nonlinear_causal,smirkct_nonlinear_causal,joyct_emotion_nonlinear_causal,disgustct_emotion_nonlinear_causal,sadnessct_emotion_nonlinear_causal,angerct_emotion_nonlinear_causal,surprisect_emotion_nonlinear_causal,contemptct_emotion_nonlinear_causal,fearct_emotion_nonlinear_causal,valencect_nonlinear_causal,expressivenessct_nonlinear_causal,Entropy,HeadAngleLeftRight,HeadAngleRoll,HeadAngleUpDown,HighFreqPower,InterOcularDistance,MeanFaceLuminance,MeanFaceLuminanceDiffLR,VarianceFaceLuminance
161428.578,98.1176758,0.024122238,0.76763916,4.44104004,0.547119141,84.1464844,4.98E-05,2.28149414,50.1269531,27.28125,77.0136719,0.012096405,99.9995117,2.75E-06,22.9394531,0.006259441,49.4628906,0.001892209,0.127212524,4.70068359,2.43261719,0.221359253,-98.3118896,27.8930664,2.11441183,2.14941406,3.78369141,-8.3984375,209.53125,174.836426,108.513672,17.1299438,1637.46875
161500,98.144165,0.064559937,0.91809082,3.8807373,0.428466797,80.1494141,3.67E-05,3.13729858,61.1816406,2.5078125,70.515625,0.021392822,53.875,2.63E-06,26.5976562,0.0056355,46.2148438,0.002830982,0.077537537,3.69250488,3.41479492,0.158576965,-97.6899414,30.449707,2.11359024,2.11035156,1.85290527,-4.08203125,214.761719,174.123047,108.855957,15.8143921,1577.76562
161571.422,98.4351196,0.265991211,1.02584839,3.64373779,0.003406525,71.5664062,2.92E-05,2.83325195,70.1386719,0.222351074,64,0.061584473,0.051673889,2.41E-06,36.5234375,0.005028605,39.5527344,0.003676176,0.056747437,2.8581543,10.1210938,0.116661072,-95.5117188,35.0439453,2.11019516,1.29077148,1.84472656,-3.12890625,234.0625,175.64209,109.714569,15.7370605,1587.14062
161642.859,98.4627075,1.04199219,1.05664253,3.83093262,0.001015902,50.5234375,2.13E-05,1.55583191,79.1469727,0.209440231,57.5859375,0.084438324,0.02255249,2.63E-06,50.2304688,0.004442096,30.5527344,0.005008221,0.042362213,2.2097168,30.1601562,0.090610504,-90.0546875,40.0600586,2.11407948,1.20129395,2.51147461,-3.13305664,242.414062,175.776367,109.59259,16.2841797,1636.22656
161714.281,97.6767578,3.92675781,1.04095459,4.22888184,0.000289857,25.0078125,1.65E-05,1.46630859,79.1450195,0.182540894,49.9736328,0.068904877,0.006060123,2.65E-06,51.7607422,0.003820181,19.0019531,0.009670258,0.027217865,1.81390381,33.8417969,0.076754093,-78.0742188,39.8684082,2.1180768,3.26074219,2.40283203,-3.32214355,243.671875,175.946289,109.492798,16.9918823,1666.80566
161785.719,98.2911377,15.8984375,1.06605148,4.75488281,0.010716677,11.8261719,2.38E-05,4.75683594,64.5078125,1.16796875,38.0429688,0.357910156,0.020458221,2.56E-06,39.2324219,0.00302279,7.609375,0.077484131,0.009544373,2.00756836,12.5625,0.089126587,-56.421875,31.2519531,2.12116647,1.70019531,1.54150391,-1.10095215,231.464844,172.687012,108.929932,15.7608643,1590.99805
161857.141,98.4570312,46.125,1.06616592,5.34265137,0.026296616,6.38964844,3.61E-05,13.7089844,43.2382812,1.09448242,32.421875,1.56323242,0.001859188,2.51E-06,30.1933594,0.002674818,4.33203125,1.05444336,0.002254963,4.47412109,5.09423828,0.216064453,-44.5761719,18.2480469,2.11886263,1.20117188,0.65637207,0.04675293,250.139648,173.255554,109.064453,15.6991425,1550.57812
161928.578,98.6209717,71.9375,1.05396271,5.89361572,0.022087097,3.60302734,5.50E-05,22.4228516,25.4863281,0.410827637,30.9423828,2.97802734,0.002276421,2.45E-06,16.4121094,0.002557665,3.07666016,3.18920898,0.001512229,6.51321411,1.27368164,0.341456413,-36.3339844,7.31347656,2.11356544,0.635009766,0.952026367,-1.43041992,247.335938,171.654297,110.160797,15.2044601,1496.99609
162000,98.3695602,79.2243042,1.06160831,6.14046812,0.025371648,2.05976152,9.24E-05,28.5461731,15.911129,0.179444283,29.1997166,5.10002279,0.002168559,2.47E-06,7.53876352,0.00245717,2.30560422,3.22769594,0.00189827,5.81574488,0.480217397,0.310876787,-29.6455917,3.61482978,2.11077809,1.50058568,0.387077093,-3.38941264,263.40152,172.182373,110.264107,15.5870228,1493.33557
162071.422,98.5279846,72.4160156,1.07551575,6.28308487,0.017160416,1.39868164,0.000144944,48.828125,9.11621094,0.101890564,28.9213867,7.68041992,0.000650942,2.46E-06,3.37988281,0.002432309,1.91925049,0.958007812,0.009666443,3.29443359,0.311645508,0.174743652,-25.1147461,4.33007812,2.11014414,0.981323242,1.68478394,-3.62677002,268.806641,173.362885,110.344971,15.5668945,1500.34375
